iter	Passed	Remaining
144	282	1666
145	283	1656
146	283	1646
147	284	1637
148	285	1627
149	285	1618
150	286	1610
151	287	1601
152	287	1592
153	288	1584
154	288	1575
155	289	1566
156	290	1558
157	290	1549
158	291	1542
159	292	1535
160	293	1527
161	293	1520
162	294	1513
163	295	1505
164	296	1498
165	296	1491
166	297	1483
167	298	1476
168	298	1470
169	299	1464
170	300	1457
171	301	1450
172	302	1444
173	302	1438
174	303	1431
175	304	1425
176	305	1418
177	306	1413
178	306	1407
179	307	1401
180	308	1395
181	309	1388
182	309	1382
183	310	1376
184	311	1370
185	312	1365
186	312	1359
187	313	1353
188	313	1347
189	314	1340
190	315	1334
191	315	1328
192	316	1322
193	316	1316
194	317	1311
195	318	1305
196	318	1299
197	319	1294
198	320	1289
199	320	1283
200	321	1277
201	322	1272
202	322	1266
203	323	1261
204	324	1256
205	324	1252
206	325	1247
207	326	1242
208	326	1237
209	327	1232
210	328	1228
211	329	1223
212	329	1218
213	330	1213
214	331	1209
215	331	1204
216	332	1199
217	333	1195
218	333	1190
219	334	1185
220	335	1180
221	335	1176
222	336	1171
223	336	1167
224	337	1163
225	338	1158
226	338	1154
227	339	1149
228	340	1145
229	340	1140
230	341	1136
231	342	1132
232	342	1128
233	343	1125
234	344	1121
235	345	1117
236	346	1113
237	346	1110
238	347	1106
239	347	1101
240	348	1097
241	349	1094
242	350	1090
243	350	1086
244	351	1082
245	352	1078
246	352	1074
247	353	1070
248	353	1066
249	354	1062
250	354	1058
251	355	1055
252	356	1052
253	356	1048
254	357	1044
255	358	1040
256	358	1037
257	359	1033
258	359	1029
259	360	1026
260	361	1022
261	361	1019
262	362	1016
263	363	1012
264	363	1009
265	364	1005
266	365	1002
267	365	999
268	366	995
269	366	992
270	367	988
271	368	985
272	369	982
273	369	979
274	370	976
275	371	973
276	371	970
277	372	966
278	372	963
279	373	960
280	374	957
281	374	954
282	375	951
283	376	948
284	376	945
285	377	942
286	377	938
287	378	935
288	379	932
289	379	929
290	380	927
291	381	925
292	382	922
293	382	919
294	383	916
295	384	913
296	385	911
297	385	908
298	386	906
299	387	903
300	388	901
301	388	898
302	389	895
303	389	892
304	390	889
305	391	886
306	391	884
307	392	881
308	393	878
309	393	876
310	394	873
311	395	871
312	395	868
313	396	865
314	396	862
315	397	860
316	397	857
317	398	854
318	399	852
319	400	850
320	400	847
321	401	845
322	402	843
323	402	840
324	403	838
325	404	835
326	404	833
327	405	830
328	406	828
329	406	825
330	407	823
331	407	820
332	408	818
333	409	815
334	409	813
335	410	811
336	411	808
337	411	806
338	412	805
339	417	809
340	418	809
341	420	808
342	421	806
343	422	806
344	424	806
345	426	805
346	427	804
347	428	803
348	429	801
349	430	800
350	432	798
351	433	797
352	434	796
353	435	794
354	437	794
355	438	793
356	440	792
357	441	791
358	442	790
359	443	789
360	444	787
361	445	786
362	447	785
363	448	783
364	449	781
365	450	779
366	451	778
367	451	776
368	452	773
369	453	771
370	454	770
371	455	768
372	458	771
373	459	769
374	460	768
375	461	766
376	462	764
377	464	763
378	464	761
379	465	759
380	466	757
381	467	755
382	467	753
383	468	751
384	469	750
385	470	748
386	470	745
387	471	743
388	472	741
389	472	739
390	473	737
391	474	735
392	474	733
393	475	731
394	476	729
395	477	727
396	477	725
397	478	723
398	478	721
399	479	719
400	480	717
401	480	715
402	481	713
403	482	711
404	483	709
405	484	708
406	484	706
407	485	704
408	486	702
409	487	701
410	487	699
411	488	697
412	489	695
413	490	693
414	490	691
415	491	690
416	492	688
417	493	686
418	493	684
419	494	682
420	495	681
421	496	679
422	496	677
423	497	676
424	498	674
425	499	672
426	500	671
427	500	669
428	501	667
429	502	665
430	502	664
431	503	662
432	504	660
433	505	658
434	506	657
435	506	655
436	507	653
437	508	652
438	509	650
439	509	648
440	510	647
441	511	645
442	511	643
443	512	641
444	513	640
445	514	638
446	514	636
447	515	635
448	515	633
449	516	631
450	517	629
451	517	627
452	518	626
453	519	624
454	520	623
455	520	621
456	521	619
457	522	617
458	522	616
459	523	614
460	523	612
461	524	610
462	525	609
463	526	607
464	526	606
465	527	604
466	527	602
467	528	600
468	529	599
469	529	597
470	530	595
471	531	594
472	532	592
473	532	591
474	533	589
475	533	587
476	534	586
477	535	584
478	535	582
479	536	581
480	536	579
481	537	577
482	538	576
483	539	574
484	539	573
485	540	571
486	540	569
487	541	568
488	542	566
489	542	564
490	543	563
491	543	561
492	544	560
493	545	558
494	546	557
495	546	555
496	547	554
497	548	552
498	548	551
499	549	549
500	550	547
501	550	546
502	551	545
503	552	543
504	552	542
505	553	540
506	554	538
507	554	537
508	555	535
509	555	534
510	556	532
511	557	531
512	557	529
513	558	528
514	559	526
515	559	525
516	560	523
517	561	522
518	561	520
519	562	519
520	563	517
521	563	516
522	564	514
523	565	513
524	565	512
525	566	510
526	567	509
527	567	507
528	568	506
529	569	504
530	570	503
531	570	502
532	571	500
533	572	499
534	572	497
535	573	496
536	573	494
537	574	493
538	575	491
539	576	490
540	576	489
541	577	487
542	578	486
543	578	485
544	579	483
545	580	482
546	580	480
547	581	479
548	581	478
549	582	476
550	583	475
551	584	474
552	584	472
553	585	471
554	586	470
555	587	468
556	587	467
557	588	466
558	589	464
559	590	463
560	590	462
561	591	461
562	592	459
563	592	458
564	593	456
565	594	455
566	594	454
567	595	452
568	596	451
569	597	450
570	597	449
571	598	447
572	599	446
573	600	445
574	600	444
575	601	442
576	602	441
577	603	440
578	603	439
579	604	437
580	605	436
581	605	435
582	606	433
583	607	432
584	607	431
585	608	429
586	609	428
587	609	427
588	610	425
589	610	424
590	611	423
591	611	421
592	612	420
593	613	419
594	614	418
595	614	416
596	615	415
597	615	414
598	616	412
599	617	411
600	617	410
601	618	408
602	618	407
603	619	406
604	620	405
605	621	403
606	621	402
607	622	401
608	622	399
609	623	398
610	623	397
611	624	396
612	625	394
613	626	393
614	626	392
615	627	391
616	627	389
617	628	388
618	629	387
619	629	386
620	630	384
621	630	383
622	631	382
623	632	381
624	633	379
625	633	378
626	634	377
627	635	376
628	635	374
629	636	373
630	636	372
631	637	371
632	638	369
633	638	368
634	639	367
635	640	366
636	640	365
637	641	363
638	641	362
639	642	361
640	643	360
641	643	358
642	644	357
643	645	356
644	645	355
645	646	354
646	647	353
647	647	351
648	648	350
649	649	349
650	649	348
651	650	347
652	650	345
653	651	344
654	652	343
655	652	342
656	653	341
657	654	339
658	654	338
659	655	337
660	655	336
661	656	335
662	657	333
663	657	332
664	658	331
665	659	330
666	659	329
667	660	328
668	660	327
669	661	325
670	662	324
671	662	323
672	663	322
673	664	321
674	665	320
675	665	319
676	666	317
677	667	316
678	667	315
679	668	314
680	668	313
681	669	312
682	670	311
683	670	309
684	671	308
685	672	307
686	672	306
687	673	305
688	673	304
689	674	303
690	674	301
691	675	300
692	676	299
693	677	298
694	677	297
695	678	296
696	679	295
697	679	294
698	680	292
699	680	291
700	681	290
701	682	289
702	682	288
703	683	287
704	684	286
705	684	285
706	685	284
707	686	282
708	686	281
709	687	280
710	687	279
711	688	278
712	689	277
713	690	276
714	690	275
715	691	274
716	692	273
717	692	272
718	693	271
719	694	269
720	694	268
721	695	267
722	696	266
723	696	265
724	697	264
725	698	263
726	699	262
727	700	261
728	700	260
729	701	259
730	702	258
731	702	257
732	703	256
733	704	255
734	704	254
735	705	252
736	705	251
737	706	250
738	707	249
739	707	248
740	708	247
741	709	246
742	709	245
743	710	244
744	711	243
745	711	242
746	712	241
747	712	240
748	713	239
749	714	238
750	714	237
751	715	235
752	716	234
753	716	233
754	717	232
755	717	231
756	718	230
757	719	229
758	719	228
759	720	227
760	721	226
761	721	225
762	722	224
763	723	223
764	723	222
765	724	221
766	724	220
767	725	219
768	726	218
769	726	217
770	727	216
771	728	215
772	728	214
773	729	212
774	730	211
775	730	210
776	731	209
777	732	208
778	732	207
779	733	206
780	734	205
781	734	204
782	735	203
783	735	202
784	736	201
785	737	200
786	737	199
787	738	198
788	738	197
789	739	196
790	740	195
791	741	194
792	741	193
793	742	192
794	743	191
795	743	190
796	744	189
797	745	188
798	745	187
799	746	186
800	747	185
801	747	184
802	748	183
803	749	182
804	749	181
805	750	180
806	750	179
807	751	178
808	752	177
809	752	176
810	753	175
811	754	174
812	754	173
813	755	172
814	755	171
815	756	170
816	757	169
817	757	168
818	758	167
819	759	166
820	760	165
821	760	164
822	761	163
823	761	162
824	762	161
825	763	160
826	763	159
827	764	158
828	765	157
829	765	156
830	766	155
831	767	154
832	767	153
833	768	152
834	768	151
835	769	150
836	770	149
837	770	148
838	771	148
839	772	147
840	772	146
841	773	145
842	774	144
843	774	143
844	775	142
845	775	141
846	776	140
847	777	139
848	777	138
849	778	137
850	779	136
851	780	135
852	780	134
853	781	133
854	781	132
855	782	131
856	782	130
857	783	129
858	784	128
859	785	127
860	785	126
861	786	125
862	787	125
863	788	124
864	789	123
865	790	122
866	790	121
867	791	120
868	792	119
869	793	118
870	794	117
871	795	116
872	795	115
873	796	114
874	797	113
875	798	112
876	798	112
877	799	111
878	799	110
879	800	109
880	800	108
881	801	107
882	802	106
883	802	105
884	803	104
885	804	103
886	805	102
887	805	101
888	806	100
889	806	99
890	807	98
891	808	97
892	808	96
893	809	95
894	810	95
895	810	94
896	811	93
897	812	92
898	812	91
899	813	90
900	814	89
901	814	88
902	815	87
903	816	86
904	816	85
905	817	84
906	818	83
907	818	82
908	819	82
909	819	81
910	820	80
911	821	79
912	821	78
913	822	77
914	823	76
915	823	75
916	824	74
917	825	73
918	825	72
919	826	71
920	827	70
921	827	70
922	828	69
923	829	68
924	829	67
925	830	66
926	830	65
927	831	64
928	832	63
929	832	62
930	833	61
931	833	60
932	834	59
933	835	59
934	836	58
935	836	57
936	837	56
937	838	55
938	838	54
939	839	53
940	840	52
941	840	51
942	841	50
943	842	49
944	842	49
945	843	48
946	844	47
947	844	46
948	845	45
949	845	44
950	846	43
951	847	42
952	848	41
953	848	40
954	849	40
955	849	39
956	850	38
957	850	37
958	851	36
959	852	35
960	852	34
961	853	33
962	854	32
963	854	31
964	855	31
965	855	30
966	856	29
967	857	28
968	857	27
969	858	26
970	858	25
971	859	24
972	860	23
973	860	22
974	861	22
975	862	21
976	862	20
977	863	19
978	864	18
979	864	17
980	865	16
981	865	15
982	866	14
983	867	14
984	868	13
985	868	12
986	869	11
987	869	10
988	870	9
989	871	8
990	871	7
991	872	7
992	873	6
993	873	5
994	874	4
995	875	3
996	875	2
997	876	1
998	876	0
999	877	0
